,,,Useful bits (net capacity),,,,,
MCS,Modulation,Code Rate,0,1,2,3,4,5
1,4,1/24,56,60,60,60,60,61
2,4,1/12,112,120,120,120,120,122
3,4,1/8,168,180,180,180,180,184
4,4,1/6,224,240,240,240,240,245
5,4,5/24,280,300,300,300,300,306
6,4,7/24,392,420,420,420,420,429
7,4,3/8,504,540,540,540,540,552
8,16,5/24,560,600,600,600,600,613
9,16,1/4,672,720,720,720,720,736
10,16,7/24,784,840,840,840,840,858
11,16,3/8,1008,1080,1080,1080,1080,1104
12,16,11/24,1232,1320,1320,1320,1320,1349
13,16,13/24,1456,1560,1560,1560,1560,1594
14,16,5/8,1680,1800,1800,1800,1800,1840
15,16,3/4,2016,2160,2160,2160,2160,2208
16,16,5/6,2240,2400,2400,2400,2400,2453
17,64,7/12,2352,2520,2520,2520,2520,2576
18,64,2/3,2688,2880,2880,2880,2880,2944
19,64,3/4,3024,3240,3240,3240,3240,3312
20,64,19/24,3192,3420,3420,3420,3420,3496
21,64,7/8,3528,3780,3780,3780,3780,3864
22,64,11/12,3696,3960,3960,3960,3960,4048
23,256,3/4,4032,4320,4320,4320,4320,4416
24,256,5/6,4480,4800,4800,4800,4800,4906
25,256,7/8,4704,5040,5040,5040,5040,5152
26,256,11/12,4928,5280,5280,5280,5280,5397
27,256,23/24,5152,5520,5520,5520,5520,5642